CODICE ESERCIZIO,tipo,provincia,comune,categoria,tipologia,denominazione,localita,frazione,indirizzo,cap,telefono,cellulare,fax,email,sito,n_camere,n_posti_letto,n_bagni,periodo_apertura,varie_centro_abitato,varie_zona_aereoporto,varie_zona_stazione_ff_ss,varie_in_campagna,varie_sul_mare,varie_sul_lago,varie_sul_fiume,varie_zona_imp_risalita,varie_interesse_storico,varie_villa,varie_castello,accessibile,ascensore,ristorante,ristorante_convenzionato,ristorante_vegetariano,tavola_calda,bar,giochi_bambini,sala_lettura,sala_tv,sala_tv_comune,parco_giardino,animali_domestici,servizio_congressi,servizio_congressi_min,servizio_congressi_max,accettazione_gruppi,accesso_mezzi_pubblici,accesso_mezzi_privati,parcheggio_non_custodito,garage,trasporto_clienti,pulizia_calzature,lavatura_stiratura,baby_sitting,altri_impianti_servizi,custodia_valori_cassaforte,custodia_val_cassetta_sicur,vasca_idromassaggio,doccia_idromassaggio,doccia_sauna,sauna_privata,palestra,impianti_termali,centro_benessere,spiaggia_riservata,discoteca,postazioni_internet,tv_satellitare,aria_condizionata,lingua_inglese,lingua_francese,lingua_spagnola,lingua_tedesca,altre_lingue,tennis,piscina_coperta,piscina_scoperta,golf,equitazione,vela,windsurf,sub,ricarica_bombole_sub,sci_nautico,sci_montano,ormeggio,altri_impianti_sportivi,american_express,carta_si,diners,eurocard_mastercard,jcb,visa,bancomat_pos,cirrus,maestro,altre_carte_credito
229,Alberghi,GORIZIA,MONFALCONE,3 Stelle ***,Casa principale,ITALIA,-,-,"VIA COLOMBO, 21",34074,0481 791330,-,0481 411985,hotelitalia@spin.it,http://www.hotelitalia-go.com,31,76,31,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,NO,0,0,SI,SI,SI,SI,NO,NO,NO,SI,NO,-,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
230,Alberghi,GORIZIA,MONFALCONE,1 Stella *,Casa principale,TARTARUGA,-,-,"VIA GARIBALDI, 12",34074,0481 410594,388 9382361,-,albergotartaruga@gmail.com,,8,16,2,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,0,0,SI,SI,SI,SI,NO,SI,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
232,Alberghi,GORIZIA,MONFALCONE,2 Stelle **,Casa principale,LA SIRENETTA,-,-,"VIA GRADO, 45",34074,0481 480044,-,0481 481561,lasirenettadiorlando@tin.it,,8,17,8,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,NO,NO,-
233,Alberghi,GORIZIA,MONFALCONE,2 Stelle **,Casa principale,ALLA TERRAZZA,-,-,"VIA I MAGGIO, 159",34074,0481 483002,-,0481 483002,,,10,18,10,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,0,0,NO,NO,NO,NO,SI,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
234,Alberghi,GORIZIA,MONFALCONE,3 Stelle ***,Casa principale,AI CAMPI DI MARCELLO,-,-,"VIA NAPOLI, 7",34074,0481 486470,-,0481 720192,hotelaicampi@libero.it,,14,18,14,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,SI,SI,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SLOVENO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
235,Alberghi,GORIZIA,GRADO,4 Stelle ****,Casa principale,METROPOLE,-,-,"PIAZZETTA SAN MARCO, 15",34073,0431 876207,-,0431 876223,info@gradohotel.com,http://www.gradohotel.com,19,46,19,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,SI,SI,SI,SI,NO,NO,SI,SI,SI,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
236,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,LYDIA,-,-,"VIA MOROSINI, 5",34073,0431 876023,-,0431 81938,hotellydia@libero.it,http://www.hotellydiagrado.it,12,24,12,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,NO,SI,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,NO,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
238,Alberghi,GORIZIA,CAPRIVA DEL FRIULI,3 Stelle ***,Casa principale,TAVERNETTA AL CASTELLO,SPESSA DI CAPRIVA,-,"VIA SPESSA, 7",34070,0481 808228,349 2300314,0481 880218,info@tavernettaalcastello.it,http://www.tavernettaalcastello.it,10,21,10,01.I - 31.XII,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,Eccellente,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,SI,10,40,SI,NO,SI,SI,NO,SI,NO,NO,NO,-,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,Sloveno,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
239,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,ELIANI MEUBLE',-,-,"VIA DELL'AMICIZIA, 5",34073,0431 80686,392 3777928,0431 877620,info@hoteleliani-grado.com,http://www.hoteleliani-grado.com,13,24,14,22.III - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
241,Alberghi,GORIZIA,GRADO,4 Stelle ****,Casa principale,HANNOVER,-,-,"PIAZZA XXVI MAGGIO, 10",34073,0431 82264,-,0431 82141,info@hotelhannover.com,http://www.hotelhannover.com,24,46,24,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Con difficoltà,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,SI,SI,SI,5,50,SI,SI,SI,SI,SI,SI,SI,SI,SI,SERVIZIO SPIAGGIA,NO,NO,SI,SI,NO,SI,NO,NO,NO,SI,NO,SI,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SOLARIUM  GOLF CONVENZIONATO,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
242,Alberghi,GORIZIA,GRADO,2 Stelle **,Casa principale,EURO MEUBLE',-,-,"VIA MANZONI, 26",34073,0431 85360,-,0431 85370,info@euromeuble.it,http://www.euromeuble.it,11,23,11,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,NO,SI,SI,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,NO,SI,-
243,Alberghi,GORIZIA,GRADO,4 Stelle ****,Casa principale,GRAND HOTEL ASTORIA,-,-,"LARGO SAN GRISOGONO, 3",34073,0431 83550,-,0431 83355,info@hotelastoria.it,http://www.hotelastoria.it,124,297,126,01.I - 31.XII,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,20,190,SI,SI,SI,NO,SI,SI,SI,SI,SI,"N.2 PISCINE, SOLARIUM PANORAMICO, WI-FI IN TUTTO L'ALBERGO",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,CONVENZIONATO CON GOLF CLUB GRADO,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
244,Alberghi,GORIZIA,GRADO,2 Stelle **,Casa principale,SIRENETTA,-,-,"VIA MILANO, 1",34073,0431 80404,-,0431 80807,info@hotelsirenetta.net,http://www.hotelsirenetta.net,13,25,13,01.I - 31.XII,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,NO,SI,SI,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
245,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA CARLA,-,-,"VIA VENEZIA, 18",34073,0431 82945,-,0431 82945,,,27,58,27,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,SERVIZIO INTERNET,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
246,Alberghi,GORIZIA,GRADO,4 Stelle ****,Casa principale,VILLE BIANCHI  - STELLA MARIS,-,-,"VIALE DANTE ALIGHIERI, 50",34073,0431 80169,-,0431 877000,office@villebianchi.it,http://www.villebianchi.it,18,32,18,01.IV - 07.X,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,Non accessibile,SI,SI,NO,SI,NO,SI,NO,NO,NO,SI,SI,NO,NO,0,0,SI,NO,SI,SI,NO,NO,NO,SI,NO,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,OLANDESE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
248,Alberghi,GORIZIA,GRADO,2 Stelle **,Casa principale,VILLA ROMANA MEUBLE',-,-,"VIALE DANTE, 20",34073,0431 82604,392 6586248,0431 82604,info@gradovillaromana.com,http://www.gradovillaromana.com,13,24,12,02.V - 22.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,0,0,NO,NO,NO,NO,NO,NO,NO,SI,NO,VENTILATORI A SOFFITTO -   ASCIUGACAPELLI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,NO,SI,-
249,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA ROSA,-,-,"VIA CARDUCCI, 12",34073,0431 80026,-,0431 83330,info@hoteldiana.it,http://www.hotelvillarosa-grado.it,25,44,27,01.IV - 15.X,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,SI,SI,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,RUSSO - SLOVENO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
250,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA REALE,-,-,"VIA COLOMBO, 11",34073,0431 80015 - 80520,-,0431 80015 - 80520,info@hotelvillareale.com,http://www.hotelvillareale.com,20,40,20,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,Non accessibile,NO,SI,NO,NO,NO,SI,SI,NO,NO,SI,SI,SI,NO,0,0,SI,NO,SI,SI,NO,SI,SI,SI,NO,SERVIZIO BAR E RISTORANTE PER ALLOGGIATI IN GIARDINO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,-,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,AFFILIATO CON GOLF CLUB GRADO,SI,SI,NO,SI,NO,SI,SI,NO,SI,-
251,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA MIRELLA,-,-,"VIALE DEI MORERI, 19",34073,0431 80258,-,-,info@villamirellagrado.it,,15,25,15,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,SI,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,NO,SI,-
252,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA PATRIZIA MEUBLE',-,-,VIALE ITALIA N.19 ANGOLO S.PELLICO,34073,0431 80897,338 3127639,0431 84301,info@hotelvillapatrizia.com,http://www.hotelvillapatrizia.com,19,55,19,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,NO,SI,NO,NO,SI,NO,NO,NO,SI,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,INTERNET - WI FI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
253,Alberghi,GORIZIA,GRADO,4 Stelle ****,Casa principale,VILLA ERICA,-,-,"VIALE  DANTE ALIGHIERI, 69",34073,0431 84444,-,0431 80180,info@hotelvillaerica.com,http://www.hotelvillaerica.com,30,62,30,20.IV - 30.X,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,Con difficoltà,SI,SI,NO,SI,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,SI,SI,SI,BICICLETTE PER I CLIENTI,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
254,Alberghi,GORIZIA,GRADO,1 Stella *,Casa principale,VILLA MARIN,-,-,"VIA DEI PROVVEDITORI, 20",34073,0431 80789,-,0431 85534,villamarin@grado.it,http://www.villamarin.it,21,33,21,01.I - 31.XII,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,0,0,NO,NO,SI,NO,SI,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,NO,NO,-
255,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA D'ESTE,-,-,"VIA PARINI, 9",34073,0431 80839,-,0431 84871,info@hotel-villadeste.it,http://www.hotel-villadeste.it,35,68,35,01.VI - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,OLANDESE,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
256,Alberghi,GORIZIA,GRADO,2 Stelle **,Casa principale,AI FIORI MEUBLE',-,-,"VIA PAPINI, 4",34073,0431 81485,-,0431 879720,info@hotelaifiori.it,,16,32,16,15.IV - 15.X,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,0,0,NO,NO,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,SI,SI,-
257,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,VILLA AUGUSTA,-,-,"VIALE ARGINE DEI MORERI, 11",34073,0431 80322,-,0431 84903,info@villaugusta.eu,http://www.villaugusta.eu,20,37,20,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,SI,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,LINGUA CECA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
259,Alberghi,TRIESTE,TRIESTE,3 Stelle ***,Casa principale,AL VIALE,-,-,"VIA NORDIO, 5",34125,040 3480838,-,040 3482708,info@hotelalviale.it,http://www.hotelalviale.it,18,25,18,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Con difficoltà,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,SI,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,SI,NO,-,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,"SLOVENO, SERBOCROATO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
260,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,TOURING,-,-,"VIALE KENNEDY, 38",34073,0431 80839,-,0431 84871,info@hoteltouring-grado.it,http://www.hoteltouring-grado.it,54,99,54,01.VI - 06.X,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,olandese,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
261,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,TOGNON,-,-,"VIA PAMPAGNOLA, 15",34073,0431 81154,-,0431 81154,hoteltognon@tin.it,,21,36,21,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,NO,0,0,SI,SI,NO,NO,NO,NO,NO,NO,NO,VENTILATORI NELLE CAMERE,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
262,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,TANIT,PINETA,-,"VIALE DEI  PESCI, 13",34073,0431 81845,-,0431 84866,info@hoteltanit.it,http://www.hoteltanit.it,15,25,15,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,0,0,SI,SI,SI,SI,NO,SI,NO,NO,NO,BICICLETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
264,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,SPLENDOR,-,-,"VIALE ARGINE DEI MORERI, 75",34073,0431 80321,-,0431 80309,INFO@HOTELSPLENDORGRADO.IT,http://WWW.HOTELSPLENDORGRADO.IT,27,69,27,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,SI,SI,SI,NO,SI,-
265,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,SORRISO,-,-,"RIVA FOSCOLO, 3",34073,0431 80838,-,0431 878344,info@albergosorriso.com,http://www.albergosorriso.com,15,24,15,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,NO,0,0,SI,NO,SI,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,NO,NO,-
266,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,SERENA MEUBLE',ISOLA DELLA SCHIUSA,-,"RIVA S. ANDREA, 31",34073,0431 80697,-,0431 85199,info@gradohotelserena.it,http://www.gradohotelserena.it,12,24,12,01.I - 31.XII,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,NO,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
267,Alberghi,GORIZIA,GRADO,4 Stelle superior ****,Casa principale,SAVOY,-,-,"RIVA SLATAPER, 12",34073,0431 897111,-,0431 83305,reservation@hotelsavoy-grado.it,http://www.hotelsavoy-grado.it,79,193,82,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,SI,SI,SI,NO,SI,SI,SI,0,0,SI,NO,SI,SI,NO,NO,NO,SI,SI,TERRAZZE ELIOTERAPICHE,SI,NO,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,NO,NO,SI,-,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
268,Alberghi,GORIZIA,GRADO,4 Stelle ****,Casa principale,RIALTO,CITTA' GIARDINO,-,"VIALE DEL TURISMO, 2",34073,0431 80658,-,0431 877073,info@hotel-rialto.net,http://www.hotel-rialto.net,42,114,42,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Eccellente,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,NO,SI,SI,10,30,SI,SI,SI,SI,NO,SI,NO,SI,NO,-,SI,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SOLARIUM ATTREZZATO,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
269,Alberghi,GORIZIA,GRADO,3 Stelle ***,Casa principale,REGINA,-,-,"VIA CAPRIN, 19",34073,0431 81000,339 6045444,0431 80655,info@hotelreginagrado.com,http://www.hotelreginagrado.com,30,50,30,01.IV - 30.X,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,NO,SI,SI,NO,SI,NO,-,SI,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
